user_id,locale,birthyear,gender,joinedAt,location,timezone
4101519751,id_ID,1994.0,male,375596,Yogyakarta,420.0
2163304477,es_ES,1994.0,male,375572,Santo Domingo  Dominican Republic,60.0
397493741,id_ID,1994.0,male,374815,Medan  Indonesia,420.0
383523902,fr_FR,1996.0,female,375443,Camp De Masque  Flacq  Mauritius,240.0
3554343061,id_ID,1991.0,male,375442,Yogyakarta,420.0
1538685648,id_ID,1993.0,male,375273,Medan  Indonesia,420.0
3251568850,id_ID,1994.0,female,375375,Purwokerto  Jawa Tengah  Indonesia,420.0
2879905973,ko_KR,1991.0,male,375607,Phnom Penh,420.0
3095718598,en_US,1995.0,female,375885,Newark  New Jersey,-300.0
2008761267,en_US,1982.0,male,374807,Stoney Creek  ON,-300.0
483332100,id_ID,1997.0,female,374641,Medan  26,420.0
3071657222,en_US,1996.0,male,373213,,240.0
1948333652,id_ID,1987.0,male,375386,Yogyakarta,-360.0
3142327997,en_US,1988.0,male,375755,Tbilisi  Georgia,240.0
2752875123,en_GB,1986.0,female,375287,London  United Kingdom,
4288238269,fr_FR,1992.0,male,375254,Los Angeles  California,60.0
2356937947,es_LA,1994.0,female,375381,Santo Domingo  Dominican Republic,-180.0
4058274528,id_ID,1987.0,male,375407,Mataram,510.0
1369905557,id_ID,1993.0,male,375413,Medan  Indonesia,420.0
1809934947,id_ID,1994.0,male,374655,Medan  Indonesia,420.0
1507405031,id_ID,1993.0,male,375338,Yogyakarta,420.0
1629404827,id_ID,1992.0,female,375461,Malang,420.0
517270916,en_US,1978.0,male,374303,Millbrae  California,-480.0
3325600533,es_LA,1996.0,female,375137,Santo Domingo  Dominican Republic,-240.0
3887778002,id_ID,1984.0,male,375060,Medan  Indonesia,420.0
569826712,id_ID,1994.0,male,374790,Boston  New York,420.0
7547671,en_US,1991.0,male,376333,Los Angeles  California,270.0
3925613292,en_US,1993.0,female,375700,Phnom Penh,420.0
2048999821,id_ID,1994.0,female,375318,Yogyakarta,420.0
3123500032,es_ES,1992.0,female,375613,Madrid  Spain,60.0
1079339663,en_US,1981.0,male,374624,Toronto  Ontario,-300.0
3646961870,id_ID,1994.0,male,374889,Tebing Tinggi,420.0
2271261888,en_US,1995.0,male,375846,Tonekabon,210.0
3816191065,ka_GE,1990.0,male,375713,Tbilisi  Georgia,-720.0
3986193980,id_ID,1992.0,male,374595,Medan  Indonesia,420.0
2193694254,en_US,1966.0,female,375434,Eugene  Oregon,-480.0
247769793,id_ID,1994.0,male,376101,Cilegon,450.0
1918945522,id_ID,1996.0,female,375675,Sidoarjo  Jawa Timur  Indonesia,420.0
2971889961,en_US,1981.0,male,375210,Medan  Indonesia,420.0
2393365897,en_GB,1994.0,male,375118,Los Angeles  California,-480.0
3709066919,id_ID,1993.0,female,374721,Medan  Indonesia,420.0
4179324570,id_ID,1992.0,male,375421,Djokja  Yogyakarta  Indonesia,120.0
1774655165,id_ID,1991.0,male,375284,Surabaya  08,390.0
2164973127,en_US,1994.0,male,375485,Phnom Penh,420.0
527523423,en_US,1990.0,female,375830,Kerman  Iran,210.0
3131909049,es_LA,1998.0,female,375452,Santo Domingo  Dominican Republic,-240.0
1292184871,id_ID,1986.0,male,375310,Medan  Indonesia,-480.0
2257286686,id_ID,1989.0,male,375368,Medan  Indonesia,420.0
1349230619,en_US,1971.0,male,374876,Toronto  Ontario,-240.0
174994783,en_US,1976.0,female,373085,,-240.0
2563679078,fr_FR,1997.0,male,375489,Curepipe  Mauritius,240.0
3227661980,id_ID,1993.0,female,375554,Djokja  Yogyakarta  Indonesia,420.0
3752474458,id_ID,1994.0,female,375119,Semarang  Indonesia,420.0
3187292148,id_ID,1985.0,male,375345,Medan  Indonesia,420.0
2041677127,en_US,1988.0,female,375539,Phnom Penh,420.0
605903903,id_ID,1996.0,male,374772,Medan  Indonesia,420.0
863771353,en_US,1979.0,male,376459,Cebu City,480.0
3944021305,en_US,1995.0,female,374952,Toronto  Ontario,-360.0
2684781446,en_US,1990.0,female,375474,,240.0
3198504537,id_ID,1995.0,male,374738,Medan  Indonesia,420.0
875823959,id_ID,1998.0,female,375488,Palembang,420.0
1178274219,id_ID,1997.0,female,374773,Medan  Indonesia,-300.0
1548216840,en_US,1991.0,male,374333,Glendale  Arizona,-420.0
3235544076,es_ES,1996.0,female,375554,Santo Domingo  Dominican Republic,-300.0
1728055600,en_US,1980.0,female,374476,Mesa  Arizona,-420.0
2290297293,en_US,1986.0,male,375483,Phnom Penh,420.0
2822972903,en_US,1988.0,male,375665,Duarte  California,-480.0
168764910,es_ES,1997.0,female,375358,Santo Domingo  Dominican Republic,-270.0
2916559717,en_US,1992.0,male,375950,  ,
70585535,id_ID,1995.0,female,374746,Jakarta  04,420.0
3851487388,id_ID,1991.0,female,375449,Purwokerto  Jawa Tengah  Indonesia,420.0
3198801990,es_LA,1993.0,male,375617,Santo Domingo  Dominican Republic,-240.0
3191212256,en_US,1989.0,male,375653,Poipet,420.0
3771702031,id_ID,1990.0,female,375437,Yogyakarta,420.0
967361915,id_ID,1991.0,male,374807,Medan  Indonesia,420.0
282914818,en_GB,1991.0,male,375446,Trabek  05,420.0
2033945746,id_ID,1993.0,male,374821,Medan  Indonesia,420.0
3965529047,es_ES,1983.0,male,375625,Santo Domingo  Dominican Republic,-240.0
3669048335,id_ID,1995.0,male,374816,Medan  26,420.0
2567514456,id_ID,1991.0,male,374824,Medan  Indonesia,420.0
122826603,en_US,1993.0,female,375368,Yogyakarta,420.0
3994781966,en_US,1993.0,female,374853,Irvine  California,-480.0
2877985693,en_US,1960.0,female,375894,Phnom Penh,-420.0
2188094871,en_US,1993.0,male,374153,,-300.0
3680318580,id_ID,1990.0,female,375419,Yogyakarta,420.0
4146086354,en_US,1993.0,male,372699,,-240.0
1783276120,id_ID,1996.0,male,375409,Medan  Indonesia,420.0
1597392855,en_US,1984.0,female,375807,Compton  California,-480.0
2545657612,id_ID,1992.0,female,375143,Jogjakarta  Indonesia,420.0
1641960627,es_ES,1995.0,male,375798,Guaricano  Distrito Nacional  Dominican Republic,60.0
3567042309,id_ID,1992.0,male,374630,Medan  Indonesia,420.0
2265864872,id_ID,1993.0,female,375366,,420.0
1292417817,id_ID,1994.0,female,375345,Padang Sidempuan,420.0
439507113,id_ID,1994.0,male,374549,Jakarta  04,420.0
3535608264,id_ID,1986.0,male,375391,Djokja  Yogyakarta  Indonesia,420.0
3507534894,id_ID,1993.0,male,374646,Bekasi,420.0
2619163162,id_ID,1996.0,male,375618,Bandung Dua  Jawa Barat  Indonesia,-330.0
396929851,id_ID,1993.0,male,375951,DKI Jakarta,420.0
4103253513,en_GB,1995.0,female,375443,Cassis  Port Louis  Mauritius,240.0
2068379568,en_US,1995.0,male,375439,Phnom Penh,-300.0
3635047946,en_US,1992.0,male,375358,North Highlands  California,-480.0
1601125543,en_US,1993.0,male,374947,Covina  CA,-480.0
322814221,en_US,1992.0,male,375587,Phnom Penh,420.0
1834669948,id_ID,1994.0,female,375151,Pematangsieantar  Sumatera Utara  Indonesia,420.0
1990188032,ar_AR,1993.0,male,374848,Cairo  11,120.0
248375618,es_ES,1998.0,male,375453,Santo Domingo  Dominican Republic,60.0
2383553413,id_ID,1992.0,male,375438,Yogyakarta,420.0
2638473114,id_ID,1970.0,male,375424,Jakarta  Indonesia,420.0
3909997753,en_US,1990.0,female,375422,Petit Raffray  Riviere Du Rempart  Mauritius,240.0
3775078143,en_US,1986.0,female,375745,New Delhi  India,330.0
4269216118,id_ID,1995.0,male,374917,Medan  Indonesia,420.0
2034536037,id_ID,1993.0,male,374913,Medan  Indonesia,420.0
1354120181,id_ID,1994.0,male,375207,Medan  Indonesia,-300.0
4040322582,id_ID,1998.0,male,375127,Medan  Indonesia,420.0
3723896394,id_ID,1995.0,male,374724,Medan  Indonesia,420.0
995603012,en_US,1992.0,male,374757,Los Angeles  California,-480.0
4185115186,en_US,1997.0,female,375486,Phnom Penh  11,-90.0
1463717359,id_ID,1993.0,female,375583,Purwokerto  Jawa Tengah  Indonesia,420.0
932543338,en_US,1985.0,male,375950,Highland Falls  New York,-300.0
3336438888,id_ID,1987.0,female,375370,Yogyakarta,420.0
1701323236,id_ID,1976.0,female,375432,Bantul,420.0
2912946138,en_US,1993.0,female,374737,Kalibo Town  Aklan  Philippines,420.0
210296799,en_US,1988.0,male,374947,Los Angeles  California,240.0
2116294822,en_GB,1994.0,male,375488,Yogyakarta,420.0
1006838695,id_ID,1997.0,female,375430,Jombang  Jawa Timur  Indonesia,420.0
3788009173,en_US,1993.0,male,374326,Glendale  Arizona,-420.0
4046490355,en_US,,male,371412,,-240.0
593799836,id_ID,1988.0,male,374678,Medan  Indonesia,420.0
3245671824,en_US,1980.0,male,375212,Gardena  CA,-480.0
352769719,id_ID,1997.0,male,375441,Medan  Indonesia,420.0
2223946882,en_US,1993.0,male,374655,Toronto  Ontario,-300.0
2787637778,en_US,1987.0,female,375458,Phnom Penh,420.0
1898427878,en_US,1986.0,male,375485,Phnom Pen  Phnum Penh  Cambodia,420.0
4239616087,id_ID,1990.0,male,375733,Bekasi,420.0
4002956902,fr_FR,1992.0,male,375463,Phnom Penh,420.0
1038432983,en_US,1981.0,female,374619,Ottawa  Ontario,-240.0
280995052,en_US,1989.0,male,373322,,-240.0
1368412107,en_US,1984.0,male,375455,  ,420.0
990116823,id_ID,1995.0,male,375540,Jombang  Jawa Timur  Indonesia,420.0
1875891307,en_US,1998.0,female,375442,,240.0
2706413631,id_ID,1996.0,male,374772,Medan  Indonesia,420.0
1484078818,id_ID,1993.0,male,375377,Klaten  Jawa Tengah  Indonesia,420.0
1747471686,en_US,1997.0,male,375447,Oberhausen  Germany,420.0
439279583,id_ID,1996.0,male,374817,Medan  Indonesia,420.0
2804635189,en_US,1993.0,female,374496,Phoenix  Arizona,-420.0
3198823658,en_US,1992.0,male,375488,Phnom Penh,-90.0
1539256277,id_ID,1992.0,male,375486,Rantauprapat  Sumatera Utara  Indonesia,420.0
3685921102,en_US,1987.0,female,375445,Argy  Flacq  Mauritius,450.0
3175354507,id_ID,1997.0,female,375827,Medan  Indonesia,420.0
4236494,en_US,1998.0,female,375433,Beau Vallon  Grand Port  Mauritius,240.0
2321074684,id_ID,1997.0,female,375365,Medan  Indonesia,420.0
1030441254,es_ES,1985.0,male,372138,,-300.0
2903662804,en_US,1981.0,female,372460,,-480.0
810608905,en_US,1992.0,male,375118,Toronto  ON,-300.0
3096870348,en_US,1989.0,male,375651,Phnom Penh,420.0
1047741032,en_US,1988.0,male,374318,Tucson  Arizona,-420.0
4157365314,id_ID,1992.0,male,375449,Porsea  Sumatera Utara  Indonesia,420.0
2163512224,id_ID,1981.0,male,374803,Medan  Indonesia,420.0
2030266367,en_US,1989.0,female,375805,Sihanoukville,420.0
3592311259,en_US,1984.0,male,375501,San Francisco  California,-480.0
2604497840,en_US,1988.0,male,375703,Lahore  04,300.0
354974889,id_ID,1992.0,male,375904,Yogyakarta,420.0
2485670452,id_ID,1997.0,female,374966,Medan  Indonesia,480.0
3835637004,en_US,1983.0,male,372162,,-480.0
1063393664,id_ID,1994.0,male,375391,Medan  Indonesia,-300.0
2933561364,en_GB,1992.0,male,375351,Quatre Bornes  17,240.0
2937549539,id_ID,1991.0,female,374553,Medan  Indonesia,420.0
2679652649,id_ID,1993.0,female,375220,Medan  Indonesia,420.0
2856945250,en_US,,male,376103,San Francisco  CA,-480.0
1933513142,en_US,1964.0,female,375885,Hemet  California,-480.0
