event,status,user_id,start_time
1389928885,yes,2500150280,376467
3753704467,yes,3118355226,376476
401945277,yes,1912059312,376229
416330287,yes,3725766398,375724
1832462541,yes,1404395751,374886
1063306856,yes,1018886228,375041
582672945,yes,4236087068,375193
3639467255,yes,3122183291,375726
1690615074,yes,3297493554,374521
61186519,yes,2467409062,375479
1233762920,yes,1826584692,376380
1964407998,yes,2936209614,375540
1841768927,yes,81458678,372836
1728231357,yes,3835637004,375379
1728231357,yes,1625052108,375379
1967012522,yes,3071093998,375205
1148012652,yes,1783276120,375373
411731753,yes,3442212683,376323
1341096506,yes,2464597212,374666
1341096506,yes,3009580143,374666
1341096506,yes,4222590338,374666
1341096506,yes,3299562450,374666
1341096506,yes,81458678,374666
1341096506,yes,1912698965,374666
1341096506,yes,3138635490,374666
498238691,yes,551538117,375446
2389263741,yes,4214369322,375370
1820029797,yes,532589341,375379
2797343771,yes,2893327845,376010
2797343771,yes,1997928281,376010
2354737755,yes,2949537983,374156
2354737755,yes,2895220130,374156
1826343214,yes,3861589862,375144
1775180166,yes,1171363794,373822
1775180166,yes,1104375072,373822
1775180166,yes,326930040,373822
2576859096,yes,1754474767,375699
2585327580,yes,4136285322,375870
2585327580,yes,2928822295,375870
2585327580,yes,3685921102,375870
2585327580,yes,1875891307,375870
1784678428,yes,2033945746,375724
2952943730,yes,13301498,375272
1074870129,yes,1171363794,374786
1118457299,yes,631446479,375211
1838041662,yes,2768571751,376445
3789029184,yes,240521211,375545
1923809350,yes,1583577411,375482
353850493,yes,1104375072,373798
394293006,yes,1104375072,373703
394293006,yes,2626409021,373703
2873343645,yes,3221698850,375181
2399554984,yes,263599897,375171
2169105814,yes,555384690,375989
2762282302,yes,2888420415,376371
183514604,yes,263599897,376020
873255426,yes,3330527170,375714
3785555410,yes,3261632504,375283
3785555410,yes,1555879260,375283
3785555410,yes,631446479,375283
901303979,yes,1171363794,373822
901303979,yes,2626409021,373822
1937970808,yes,3442212683,375337
3196108932,yes,1912059312,375360
3317149544,yes,1349230619,373363
1614411396,yes,2895220130,373034
1600413013,yes,3536031836,376021
2839246665,yes,3820521570,376100
2975196902,yes,265142861,374822
2975196902,yes,65801702,374822
1179584066,yes,728332848,374563
3149161588,yes,2338481531,375362
3149161588,yes,65801702,375362
719337372,yes,4115365036,374817
1087635781,yes,508837021,375841
556895940,yes,3839562998,376032
3327259603,yes,2650493630,375483
1401579696,yes,2903662804,374356
1554701042,yes,1544526064,375712
3583895673,yes,641678389,373346
2328060612,yes,240521211,375547
3119945071,yes,265142861,374690
1764882042,yes,555384690,375388
3907601761,yes,555384690,374188
3938234624,yes,240521211,376195
40744964,yes,1555879260,376128
3013777304,yes,2342735753,376213
343424001,yes,386145959,375601
3245843888,yes,13301498,375272
1514338761,yes,2424565945,375825
687654571,yes,1996678705,376242
3100093322,yes,2626409021,374136
2094952127,yes,1404395751,374716
675426904,yes,2676225924,375194
2032864503,yes,743008535,375192
1704179171,yes,263599897,376733
2715282469,yes,2949537983,374180
3231605698,yes,4146086354,373706
3776957253,yes,4024053152,375552
445098029,yes,3909997753,375925
2039358442,yes,3861090052,375360
1204268586,yes,3176074542,374809
2512869273,yes,3591151863,375935
312946086,yes,1104375072,373099
312946086,yes,2626409021,373099
3487833744,yes,1267593079,374830
2453241445,yes,3474900298,375672
1270020700,yes,691831024,376944
1270020700,yes,528289771,376944
1270020700,yes,776020237,376944
1270020700,yes,4024053152,376944
1270020700,yes,1301945337,376944
1270020700,yes,1541564886,376944
1270020700,yes,3838242688,376944
1270020700,yes,914476369,376944
1270020700,yes,3556981605,376944
1270020700,yes,3500240032,376944
1270020700,yes,4162769577,376944
1270020700,yes,1037260580,376944
1270020700,yes,3511417249,376944
1270020700,yes,3074133478,376944
1270020700,yes,1127657981,376944
1270020700,yes,3421333729,376944
1270020700,yes,3724535659,376944
1270020700,yes,1560565543,376944
2522610844,yes,2342735753,375169
2191690926,yes,2164973127,376043
1718632192,yes,1213744330,375532
284888222,yes,4146086354,373848
2477995738,yes,3956190115,375563
2985301715,yes,4239378941,374087
2985301715,yes,1267593079,374087
955398943,yes,374464774,376021
955398943,yes,3898478698,376021
955398943,yes,3799854455,376021
1697930615,yes,4285564534,374832
3979329642,yes,1079339663,373656
3979329642,yes,1104375072,373656
3979329642,yes,3943175229,373656
2861875204,yes,3474900298,373822
2414358105,yes,374464774,375207
1905807810,yes,3591151863,375290
1699116640,yes,1104375072,375960
543972501,yes,2936209614,374592
830994161,yes,1104375072,375266
830994161,yes,3943175229,375266
510692114,yes,1171363794,374642
510692114,yes,1104375072,374642
510692114,yes,3943175229,374642
1921897790,yes,1595465532,375192
4215766191,yes,4146086354,374882
2893363609,yes,3680318580,375705
3479440123,yes,1171363794,374618
997119679,yes,2925400415,375901
997119679,yes,374464774,375901
997119679,yes,4190165036,375901
3258819416,yes,2635167233,375961
1044854627,yes,1783276120,374861
1146909088,yes,379327893,376563
581543591,yes,4146086354,375217
2826099971,yes,2559754952,373850
2826099971,yes,811791433,373850
1842491212,yes,551538117,375456
2402634095,yes,1720019070,376968
2402634095,yes,528289771,376968
2402634095,yes,776020237,376968
2402634095,yes,4024053152,376968
2402634095,yes,1301945337,376968
2402634095,yes,1541564886,376968
2402634095,yes,3838242688,376968
2402634095,yes,914476369,376968
2402634095,yes,3556981605,376968
2402634095,yes,3500240032,376968
2402634095,yes,4162769577,376968
2402634095,yes,3511417249,376968
2402634095,yes,3074133478,376968
2402634095,yes,1127657981,376968
2402634095,yes,2630238456,376968
2402634095,yes,3421333729,376968
2402634095,yes,3724535659,376968
2402634095,yes,1560565543,376968
1076364848,yes,881544435,375560
897667289,yes,917421982,375720
897667289,yes,3436781566,375720
897667289,yes,4236087068,375720
4186096930,yes,1567057770,375864
4224104772,yes,2864899561,373193
