id,titleId,ordering,title,region,language,types,attributes,isOriginalTitle
0,tt0040053,1,Toast of the Town,,,original,,1
1,tt0040053,10,The Ed Sullivan Show,IN,en,imdbDisplay,,0
2,tt0040053,11,The Ed Sullivan Show,US,,,new title,0
3,tt0040053,12,The Ed Sullivan Show,XWW,en,,video box title,0
4,tt0040053,13,El Show de Ed Sullivan,CL,,imdbDisplay,,0
5,tt0040053,14,El Show de Ed Sullivan,VE,,imdbDisplay,,0
6,tt0040053,15,Ed Sullivan Show,PT,,imdbDisplay,,0
7,tt0040053,16,You're the Top,US,,working,,0
8,tt0040053,17,Городской тост,SUHH,ru,imdbDisplay,,0
9,tt0040053,18,エド・サリヴァン・ショー,JP,ja,imdbDisplay,,0
10,tt0040053,2,Toast of the Town,AU,,imdbDisplay,,0
11,tt0040053,3,Toast of the Town,CA,en,imdbDisplay,,0
12,tt0040053,4,Toast of the Town,CA,fr,imdbDisplay,,0
13,tt0040053,5,Toast of the Town,DE,,imdbDisplay,,0
14,tt0040053,6,Toast of the Town,EC,,imdbDisplay,,0
15,tt0040053,7,Toast of the Town,IT,,imdbDisplay,,0
16,tt0040053,8,Toast of the Town,KR,,imdbDisplay,,0
17,tt0040053,9,Toast of the Town,PH,en,imdbDisplay,,0
18,tt0041023,1,Fireside Theatre,,,original,,1
19,tt0041023,2,Fireside Theatre,MX,,imdbDisplay,,0
20,tt0041023,3,Fireside Theatre,US,,imdbDisplay,,0
21,tt0041023,4,Antología,ES,,imdbDisplay,,0
22,tt0041023,5,Jane Wyman Presents,US,,,new title,0
23,tt0041023,6,Kleine Spiele aus Übersee,XWG,,imdbDisplay,,0
24,tt0041023,7,Teatro Fireside,VE,,imdbDisplay,,0
25,tt0041023,8,The Jane Wyman Show,US,,,new title,0
26,tt0041023,9,ジェーン・ワイマンの炉端劇場,JP,ja,imdbDisplay,,0
27,tt0041039,1,Mama,,,original,,1
28,tt0041039,2,Mama,PH,en,imdbDisplay,,0
29,tt0041039,3,Mama,US,,imdbDisplay,,0
30,tt0041039,4,I Remember Mama,,,,,0
31,tt0041039,5,ママ,JP,ja,imdbDisplay,,0
32,tt0042092,1,"Charlie Wild, Private Detective",,,original,,1
33,tt0042092,2,"Charlie Wild, Private Detective",US,,imdbDisplay,,0
34,tt0042160,1,Van Camp's Little Show,,,original,,1
35,tt0042160,2,John Conte's Little Show,,,,,0
36,tt0042160,3,The Little Show,,,,,0
37,tt0042160,4,Van Camp's Little Show,US,,imdbDisplay,,0
38,tt0043214,1,Love of Life,,,original,,1
39,tt0043214,2,Love of Life,CA,en,imdbDisplay,,0
40,tt0043214,3,Love of Life,DE,,imdbDisplay,,0
41,tt0043214,4,Love of Life,EC,,imdbDisplay,,0
42,tt0043214,5,Love of Life,US,,imdbDisplay,,0
43,tt0043214,6,L'amore della vita,IT,,,dubbed version,0
44,tt0043214,7,Любовь к жизни,RU,,imdbDisplay,,0
45,tt0043228,1,Schlitz Playhouse of Stars,,,original,,1
46,tt0043228,2,Schlitz Playhouse of Stars,DE,,imdbDisplay,,0
47,tt0043228,3,Schlitz Playhouse of Stars,ES,,imdbDisplay,,0
48,tt0043228,4,Schlitz Playhouse of Stars,FR,,imdbDisplay,,0
49,tt0043228,5,Schlitz Playhouse of Stars,JP,ja,imdbDisplay,,0
